Condition,Pair number,ID,Determiner,N0,Verb,Determiner,N1,Preposition,Determiner,Adjective,N2,"Attachment (verb attached - VA, noun attached - NA",Unambiguous?
1,84,184,Der,Sekretär,schreibt,das,Protokoll,mit,der,schönen,Handschrift,VA,0
1,84,184,Der,Sekretär,zeigt,das,Protokoll,mit,der,schönen,Handschrift,NA,0
1,85,185,Der,Soldat,ruft,seine,Verlobte,mit,dem,liebevollen,Brief,NA,0
1,85,185,Der,Soldat,tröstet,seine,Verlobte,mit,dem,liebevollen,Brief,VA,0
1,86,186,Der,Spion,beschriftet,das,Notizbuch,mit,einer,wertvollen,Information,VA,0
1,86,186,Der,Spion,findet,das,Notizbuch,mit,einer,wertvollen,Information,NA,1
1,87,187,Der,Staat,beliefert,die,Haushalte,mit,einem,robusten,Stromnetz,VA,0
1,87,187,Der,Staat,zählt,die,Haushalte,mit,einem,robusten,Stromnetz,NA,0
1,88,188,Der,Student,belästigt,seinen,Freund,mit,der,lauten,Musik ,VA,0
1,88,188,Der,Student,engagiert,seinen,Freund,mit,der,lauten,Musik ,NA,1
1,89,189,Die ,Tante,ruft,den,Neffen,mit,dem,lila ,Lutscher,NA,0
1,89,189,Die ,Tante,tröstet,den,Neffen,mit,dem,lila ,Lutscher,VA,0
1,90,190,Das,Team,überholt,den,Gegner,mit,dem,letzten,Punkt ,VA,0
1,90,190,Das,Team,verpfeift,den,Gegner,mit,dem,letzten,Punkt ,NA,1
1,91,191,Die,Technikerin,öffnet,das,Fenster,mit,dem,silbernem,Knauf,VA,0
1,91,191,Die,Technikerin,repariert,das,Fenster,mit,dem,silbernem,Knauf,NA,0
1,92,192,Die,Trainerin,schlägt,den,Hund,mit,einem,langen,Stock,VA,0
1,92,192,Die,Trainerin,sieht,den,Hund,mit,einem,langen,Stock,NA,1
1,93,193,Der,Trompeter,kritisiert,die,Geige,mit,dem,schiefen,Ton,NA,0
1,93,193,Der,Trompeter,übertönt,die,Geige,mit,dem,schiefen,Ton,VA,0
1,94,194,Das,Unternehmen,bekommt,das,Schreiben,mit,einem,wichtigen,Hinweis ,NA,0
1,94,194,Das,Unternehmen,versieht,das,Schreiben,mit,einem,wichtigen,Hinweis ,VA,0
1,95,195,Der,Unternehmer,besänftigt,die,Geldanleger,mit,einem,gründlichen,Bericht ,VA,0
1,95,195,Der,Unternehmer,bevorzugt,die,Geldanleger,mit,einem,gründlichen,Bericht ,NA,0
1,96,196,Die,Amme,beschäftigt,die,Säuglinge,mit,dem,hölzernen,Spielzeug,VA,0
1,96,196,Die,Amme,holt,die,Säuglinge,mit,dem,hölzernen,Spielzeug,NA,0
1,97,197,Der,Verbrecher,besänftigt,den,Anwalt,mit,den,cleveren,Ausreden,VA,0
1,97,197,Der,Verbrecher,bevorzugt,den,Anwalt,mit,den,cleveren,Ausreden,NA,0
1,98,198,Der,Verein,besitzt,ein,Komitee,mit,einer,dynamischen,Rhetorik,NA,1
1,98,198,Der,Verein,überzeugt,ein,Komitee,mit,einer,dynamischen,Rhetorik,VA,0
1,99,199,Die,Zentrale,braucht,das,Flugzeug,mit,dem,digitalen,Funkgerät,NA,1
1,99,199,Die,Zentrale,verständigt,das,Flugzeug,mit,dem,digitalen,Funkgerät,VA,0
1,100,1100,Die,Züchterin,schlägt,das,Tier,mit,der,kurzen,Leine,VA,0
1,100,1100,Die,Züchterin,sieht,das,Tier,mit,der,kurzen,Leine,NA,1
2,31,231,Der,Kläger,ermahnt,den,Richter,mit,dem,lauten,Hammer,NA,0
2,31,231,Der,Richter,ermahnt,den,Kläger,mit,dem,lauten,Hammer,VA,0
2,32,232,Die,Expertin,demütigt,die,Praktikantin,mit,der,jahrelangen,Erfahrung,VA,0
2,32,232,Die,Praktikantin,demütigt,die,Expertin,mit,der,jahrelangen,Erfahrung,NA,0
2,33,233,Der,Sohn,blamiert,den,Trupp,mit,dem,unmodischen,Jackett,VA,0
2,33,233,Der,Trupp,blamiert,den,Sohn,mit,dem,unmodischen,Jackett,NA,0
2,34,234,Die,Raubkatze,verletzt,die,Antilope,mit,den,scharfen,Krallen,VA,0
2,34,234,Die,Antilope,verletzt,die,Raubkatze,mit,den,scharfen,Krallen,NA ,0
2,35,235,Das,Kleinkind,berührt,das,Pony,mit,der,weichen,Schnauze,NA,0
2,35,235,Das,Pony,berührt,das,Kleinkind,mit,der,weichen,Schnauze,VA,0
2,36,236,Die,Indianer,bekämpfen,die,Soldaten,mit,den,giftigen,Pfeilen,VA,0
2,36,236,Die,Soldaten,bekämpfen,die,Indianer,mit,den,giftigen,Pfeilen,NA,0
2,37,237,Die,Fluglotsen,treiben,die,Passagiere,mit,den,gelben,Kellen,VA,0
2,37,237,Die,Passagiere,treiben,die,Fluglotsen,mit,den,gelben,Kellen,NA,0
2,38,238,Der,Gaffer,irritiert,den,Zauberer,mit,den,wundersamen,Tricks,NA,0
2,38,238,Der,Zauberer,irritiert,den,Gaffer,mit,den,wundersamen,Tricks,VA,0
2,39,239,Der,Hofnarr,erheitert,den,Kaiser,mit,der,bunten,Perücke,VA,0
2,39,239,Der,Kaiser,erheitert,den,Hofnarr,mit,der,bunten,Perücke,NA,0
2,40,240,Die,Königin,überragt,die,Sklavin,mit,der,goldenen,Krone,NA,0
2,40,240,Die,Sklavin,überragt,die,Königin,mit,der,goldenen,Krone,VA,0
2,41,241,Die,Gemeinde,unterstützt,die,Präsidentin,mit,den,zahlreichen,Stimmen,NA,0
2,41,241,Die,Präsidentin,unterstützt,die,Gemeinde,mit,den,zahlreichen,Stimmen,VA,0
2,42,242,Die,Greisin,lauscht,der,Erzählerin,mit,dem,piepsenden,Hörgerät,VA,0
2,42,242,Die,Erzählerin,lauscht,der,Greisin,mit,dem,piepsenden,Hörgerät,NA,0
2,43,243,Der,Vogelstrauß,überholt,den,Pinguin,mit,den,langen,Beinen,VA,0
2,43,243,Der,Pinguin,überholt,den,Vogelstrauß,mit,den,langen,Beinen,NA,0
2,44,244,Der,Butler,erwartet,seinen,Chef,mit,der,gesamten,Belegschaft,VA,0
2,44,244,Der,Chef,erwartet,seinen,Butler,mit,der,gesamten,Belegschaft,NA,0
2,45,245,Der,Milliardär,begegnet,dem,Bauarbeiter,mit,dem,teuren,Cabrio,VA,0
2,45,245,Der,Bauarbeiter,begegnet,dem,Milliardär,mit,dem,teuren,Cabrio,NA,0
2,46,246,Die,Küstenwache,findet,die,Schwimmerin,mit,dem,schnellen,Motorboot,VA,0
2,46,246,Die,Schwimmerin,findet,die,Küstenwache,mit,dem,schnellen,Motorboot,NA,0
2,47,247,Die,Diebe,treffen,die,Ermittler,mit,dem,gestohlenen,Auto,VA,0
2,47,247,Die,Ermittler,treffen,die,Diebe,mit,dem,gestohlenen,Auto,NA,0
2,48,248,Der,Besuch,dankt,dem,Gastgeber,mit,den,schönen,Blumen,VA,0
2,48,248,Der,Gastgeber,dankt,dem,Besuch,mit,den,schönen,Blumen,NA,0
2,49,249,Der,Landwirt,belohnt,den,Gaul,mit,dem,zahmen,Verhalten,NA,0
2,49,249,Der,Gaul,belohnt,den,Landwirt,mit,dem,zahmen,Verhalten,VA,0
2,50,250,Der ,Fußballer,nervt,den,Schiri,mit,der,schwarzen,Pfeife,NA,0
2,50,250,Der ,Schiri,nervt,den,Fußballer,mit,der,schwarzen,Pfeife,VA,0
2,51,251,Der ,Punk,verblüfft,den,Schaffner,mit,den,grünen,Haaren,VA,0
2,51,251,Der ,Schaffner,verblüfft,den,Punk,mit,den,grünen,Haaren,NA,0
2,52,252,Die,Trainerin,hilft,der,Mannschaft,mit,den,cleveren,Spielzügen,VA,0
2,52,252,Die,Mannschaft,hilft,der,Trainerin,mit,den,cleveren,Spielzügen,NA,0
2,53,253,Der,Magier,verflucht,den,Bauer,mit,dem,magischen,Trank,VA,0
2,53,253,Der,Bauer,verflucht,den,Magier,mit,dem,magischen,Trank,NA,0
2,54,254,Der,Küchenjunge,erwischt,den,Manager,mit,der,fettigen,Bratpfanne,VA,0
2,54,254,Der,Manager,erwischt,den,Küchenjunge,mit,der,fettigen,Bratpfanne,NA,0
2,55,255,Der,Torero,provoziert,den,Stier,mit,dem,roten,Tuch,VA,0
2,55,255,Der,Stier,provoziert,den,Torero,mit,dem,vollen,Wagen,NA,0
2,56,256,Der,Abenteurer,fasziniert,den,Ureinwohner,mit,der,modernen,Ausrüstung,VA,0
2,56,256,Der,Ureinwohner,fasziniert,den,Abenteurer,mit,der,modernen,Ausrüstung,NA,0
2,57,257,Der,Jäger,verfolgt,den,Adler,mit,der,rostigen,Flinte,VA,0
2,57,257,Der,Adler,verfolgt,den,Jäger,mit,der,rostigen,Flinte,NA,0
2,58,258,Die,Studentin,entzückt,die,Lerngruppe,mit,dem,fröhlichen,Gemüt,VA,0
2,58,258,Die,Lerngruppe,entzückt,die,Studentin,mit,dem,fröhlichen,Gemüt,NA,0
2,59,259,Der,Logistiker,blockiert,den,Türsteher,mit,den,mobilen,Containern,VA,0
2,59,259,Der,Türsteher,blockiert,den,Logistiker,mit,den,mobilen,Containern,NA,0
2,60,260,Der,Kassierer,erreicht,den,Käufer,mit,dem,vollen,Wagen,NA,0
2,60,260,Der,Käufer,erreicht,den,Kassierer,mit,dem,vollen,Wagen,VA,0
2,61,261,Der,Käfer,lockt,den,Specht,mit,dem,glänzenden,Panzer,VA,0
2,61,261,Der,Specht,lockt,den,Käfer,mit,dem,glänzenden,Panzer,NA,0
