Condition,Pair number,ID,Determiner,N0,Verb,Determiner,N1,Preposition,Determiner,Adjective,N2,"Attachment (verb attached - VA, noun attached - NA",Unambiguous?
1,13,113,Der,Busfahrer,repariert,die,Tür,mit,einem,veralteten,Druckknopf,NA,0
1,14,114,Der,Camper,mag,die,Suppe,mit,der,frischen,Petersilie,NA,0
1,14,114,Der,Camper,würzt,die,Suppe,mit,der,frischen,Petersilie,VA,0
1,15,115,Der,Leiter,koordiniert,die,Projekte,mit,seinen,geschätzten,Kollegen,VA,0
1,15,115,Der,Leiter,vermerkt,die,Projekte,mit,seinen,geschätzten,Kollegen,NA,0
1,16,116,Die,Chefin,meidet,den,Mitarbeiter,mit,der,faltbaren,Karte,NA,1
1,16,116,Die,Chefin,würdigt,den,Mitarbeiter,mit,der,faltbaren,Karte,VA,0
1,17,117,Der,Chemiker,erwirbt ,den,Flakon,mit,dem,praktischen,Pumpspender,NA,1
1,17,117,Der,Chemiker,verschließt,den,Flakon,mit,dem,praktischen,Pumpspender,VA,0
1,18,118,Die,Chöre,kritisieren,das,Orchester,mit,der,eintönigen,Harmonie,NA,0
1,18,118,Die,Chöre,übertönen,das,Orchester,mit,der,eintönigen,Harmonie,VA,0
1,19,119,Die,Cousine,erneuert,die,Reifen,mit,dem ,feinen,Flickzeug,VA,0
1,19,119,Die,Cousine,verschenkt,die,Reifen,mit,dem ,feinen,Flickzeug,NA,0
1,20,120,Der,Dekan,grüßt,die,Professorin,mit,einem,eigenen,Büro,NA,0
1,20,120,Der,Dekan,honoriert,die,Professorin,mit,einem,eigenen,Büro,VA,0
1,21,121,Der,Detektiv,ignoriert,die,Truhe,mit,dem,rostigen,Schloss,NA,1
1,21,121,Der,Detektiv,verriegelt,die,Truhe,mit,dem,rostigen,Schloss,VA,0
1,22,122,Die,Dichterin,beginnt,ihr ,Werk,mit,dem,provokanten,Titel,VA,0
1,22,122,Die,Dichterin,verleiht,ihr ,Werk,mit,dem,provokanten,Titel,NA,1
1,23,123,Die,Diebin,beneidet,ihren,Komplizen,mit,der,einzigen,Pistole,NA,1
1,23,123,Die,Diebin,rettet,ihren,Komplizen,mit,der,einzigen,Pistole,VA,0
1,24,124,Die,Entwickler,erstellen,die,Programme,mit,der,teuren,Software,VA,0
1,24,124,Die,Entwickler,verspotten,die,Programme,mit,der,teuren,Software,NA,0
1,25,125,Der,Erzieher,beruhigt,das,Baby,mit,dem,rasselnden,Stofftier,VA,0
1,25,125,Der,Erzieher,fürchtet,das,Baby,mit,dem,rasselnden,Stofftier,NA,0
1,26,126,Die,Familie ,bekommt,den,Brief,mit,der,höflichen,Beschwerde,NA,1
1,26,126,Die,Familie ,versieht,den,Brief,mit,der,höflichen,Beschwerde,VA,0
1,27,127,Die,Fans,besuchen,das,Konzert,mit,dem,begabten,Musiker,NA,0
1,27,127,Die,Fans,diskutieren,das,Konzert,mit,dem,begabten,Musiker,VA,0
1,28,128,Der,Förster,befördert,das,Holz,mit,der,roten,Markierung,NA,1
1,28,128,Der,Förster,markiert,das,Holz,mit,der,roten,Markierung,VA,0
1,29,129,Die,Fotografen,benötigen,eine,Kamera,mit,dem,wertigen,Objektiv,NA,1
1,29,129,Die,Fotografen,erweitern,eine,Kamera,mit,dem,wertigen,Objektiv,VA,0
1,30,130,Die,Friseurin,bewohnt,das,Haus,mit,ihren,betagten,Eltern,VA,0
1,30,130,Die,Friseurin,vermisst,das,Haus,mit,ihren,betagten,Eltern,NA,0
1,31,131,Die,Gärtnerin,beschenkt,die,Dame,mit,den,weißen,Rosen,VA,0
1,31,131,Die,Gärtnerin,kennt,die,Dame,mit,den,weißen,Rosen,NA,1
1,32,132,Der,Gast,beschriftet,die,Serviette,mit,einer,mobilen,Handynummer,VA,0
1,32,132,Der,Gast,findet,die,Serviette,mit,einer,mobilen,Handynummer,NA,1
1,33,133,Die,Gräfin,grüßt,den,Diener,mit,einem,seidigen,Anzug,NA,0
1,33,133,Die,Gräfin,honoriert,den,Diener,mit,einem,seidigen,Anzug,VA,0
1,34,134,Die,Großmutter,beschäftigt,ihren,Enkel,mit,dem,tapsigen,Welpen,VA,0
1,34,134,Die,Großmutter,holt,ihren,Enkel,mit,dem,tapsigen,Welpen,NA,0
1,35,135,Der,Großvater,backt,die,Brezel,mit,dem,groben,Salz,NA,0
1,35,135,Der,Großvater,bestreut,die,Brezel,mit,dem,groben,Salz,VA,0
1,36,136,Der,Händler,erneuert,die,Heizungen,mit,dem,präzisen,Thermostat,VA,0
1,36,136,Der,Händler,verschenkt,die,Heizungen,mit,dem,präzisen,Thermostat,NA,0
1,37,137,Der,Hersteller,erwirbt,die,Flaschen,mit,einem,gläsernen,Korken,NA,1
1,37,137,Der,Hersteller,verschließt,die,Flaschen,mit,einem,gläsernen,Korken,VA,0
1,38,138,Der,Ingenieur,beschmiert,die,Kette,mit,dem,klebrigen,Öl,VA,0
1,38,138,Der,Ingenieur,verpackt,die,Kette,mit,dem,klebrigen,Öl,NA,1
1,39,139,Die,Investoren,besetzen,die,Betriebe,mit,einigen,fleißigen,Tagelöhnern,VA,0
1,39,139,Die,Investoren,suchen,die,Betriebe,mit,einigen,fleißigen,Tagelöhnern,NA,0
1,40,140,Der,Junge,beneidet,seinen,Bruder,mit,dem,dicken,Seil,NA,1
1,40,140,Der,Junge,rettet,seinen,Bruder,mit,dem,dicken,Seil,VA,0
1,41,141,Die,Kanzlerin,führt,ein,Gespräch,mit,den,japanischen,Diplomaten,VA,0
1,41,141,Die,Kanzlerin,verfolgt ,ein,Gespräch,mit,den,japanischen,Diplomaten,NA,0
1,42,142,Der,Kellner,füllt,die,Tasse,mit,dem,heißen,Kaffee,VA,0
1,42,142,Der,Kellner,hält,die,Tasse,mit,dem,heißen,Kaffee,NA,1
1,43,143,Der,Kiosk,vergleicht,die,Zeitschrift,mit,dem,aktuellen,Sonderheft,VA,0
1,43,143,Der,Kiosk,verkauft,die,Zeitschrift,mit,dem,aktuellen,Sonderheft,NA,0
1,44,144,Der,Koch,mag,den,Salat,mit,den,lokalen,Kräutern,NA,0
1,44,144,Der,Koch,würzt,den,Salat,mit,den,lokalen,Kräutern,VA,0
1,45,145,Der,Kommandeur,erobert,die,Festung,mit,seiner ,mächtigsten,Armee,VA,0
1,45,145,Der,Kommandeur,verliert,die,Festung,mit,seiner ,mächtigsten,Armee,NA,0
1,46,146,Der,Konditor,backt,den,Kuchen,mit,den,bunten,Streuseln,NA,0
1,46,146,Der,Konditor,bestreut,den,Kuchen,mit,den,bunten,Streuseln,VA,0
1,47,147,Die,Konzerne,versorgen,die,Einwohner,mit,einem,primären,Anschluss,VA,0
1,47,147,Die,Konzerne,zählen,die,Einwohner,mit,einem,primären,Anschluss,NA,1
1,48,148,Der,Kran ,bestückt,eine,Ladung,mit,den,tropischen,Früchten,VA,0
1,48,148,Der,Kran ,bringt,eine,Ladung,mit,den,tropischen,Früchten,NA,0
1,49,149,Der ,Küchenchef,füllt,den,Topf,mit,der,gestrigen,Suppe,VA,0
1,49,149,Der ,Küchenchef,hält,den,Topf,mit,der,gestrigen,Suppe,NA,1
1,50,150,Der,Kunde,benötigt,einen,Computer,mit,einer,modernen,Tastatur,NA,1
1,50,150,Der,Kunde,erweitert,einen,Computer,mit,einer,modernen,Tastatur,VA,0
2,1,21,Der,Vogel ,sieht,den,Mann,mit,dem,großen,Fernglas,NA,0
2,1,21,Der,Mann,sieht,den,Vogel ,mit,dem,großen,Fernglas,VA,0
2,2,22,Die,Bürokraft,begrüßt,die,Katze,mit,dem,duftenden,Leckerli,VA,0
2,2,22,Die,Katze,begrüßt,die,Bürokraft,mit,dem,duftenden,Leckerli,NA,0
2,3,23,Der,Elefant,streichelt,den,Wärter,mit,dem,grauen,Rüssel,VA,0
2,3,23,Der,Wärter,streichelt,den,Elefant,mit,dem,grauen,Rüssel,NA,0
2,4,24,Der,Gärtner,beobachtet,den,Grashüpfer,mit,der,nützlichen,Lupe,VA,0
2,4,24,Der,Grashüpfer,beobachtet,den,Gärtner,mit,der,nützlichen,Lupe,NA,0
2,5,25,Der,Cowboy,jagt,den,Hengst,mit,dem,langen,Lasso,VA,0
2,5,25,Der,Hengst,jagt,den,Cowboy,mit,dem,langen,Lasso,NA,0
2,6,26,Die,Putzfrau,vertreibt,die,Ziege,mit,dem,alten,Besen,VA,0
2,6,26,Die,Ziege,vertreibt,die,Putzfrau,mit,dem,alten,Besen,NA,0
2,7,27,Der,Wanderer,schubst,den,Bock,mit,dem,gekrümmten,Horn,NA,0
2,7,27,Der,Bock,schubst,den,Wanderer,mit,dem,gekrümmten,Horn,VA,0
2,8,28,Der,Krieger,trifft,den,Hirsch,mit,dem,klobigen,Gewehr,VA,0
2,8,28,Der,Hirsch,trifft,den,Krieger,mit,dem,klobigen,Gewehr,NA,0
2,9,29,Die,Robbe,bespritzt,die,Animateurin,mit,dem,vollen,Eimer,NA,0
2,9,29,Die,Animateurin,bespritzt,die,Robbe,mit,dem,vollen,Eimer,VA,0
2,10,210,Der,Papagei,ärgert,den,Pilger,mit,dem,spitzen,Schnabel,VA,0
2,10,210,Der,Pilger,ärgert,den,Papagei,mit,dem,spitzen,Schnabel,NA,0
2,11,211,Der,Kater,kitzelt,den,Schüler,mit,dem,weißen,Schnurrhaar,VA,0
2,11,211,Der,Schüler,kitzelt,den,Kater,mit,dem,weißen,Schnurrhaar,NA,0
2,12,212,Der,Doktor,grüßt,den,Patient,mit,dem,brandneuen,Stethoskop,VA,0
2,12,212,Der,Patient,grüßt,den,Doktor,mit,dem,brandneuen,Stethoskop,NA,0
2,13,213,Der,Pilot,bringt,den,Notdienst,mit,dem,blauen,Helikopter,VA,0
2,13,213,Der,Notdienst,bringt,den,Pilot,mit,dem,blauen,Helikopter,NA,0
2,14,214,Der,Klempner,erwartet,den,Mieter,mit,der,dreckigen,Rohrzange,VA,0
2,14,214,Der,Mieter,erwartet,den,Klempner,mit,der,dreckigen,Rohrzange,NA,0
2,15,215,Die,Tochter,überrascht,die,Zahnfee,mit,dem,wackeligen,Zahn,VA,0
2,15,215,Die,Zahnfee,überrascht,die,Tochter,mit,dem,wackeligen,Zahn,NA,0
2,16,216,Das,Mädchen,umarmt,das ,Maskottchen,mit,den,pelzigen,Armen,NA,0
2,16,216,Das,Maskottchen,umarmt,das ,Mädchen,mit,den,pelzigen,Armen,VA,0
2,17,217,Der,König,beeindruckt,den,Ritter,mit,der,eisernen,Lanze,NA,0
2,17,217,Der,Ritter,beeindruckt,den,König,mit,der,eisernen,Lanze,VA,0
2,18,218,Der,Direktor,erschreckt,den ,Forscher,mit,dem,sprudelnden,Reagenzglas,NA,0
2,18,218,Der,Forscher,erschreckt,den ,Direktor,mit,dem,sprudelnden,Reagenzglas,VA,0
2,19,219,Die,Polizistin,empfängt,die,Zeugin,mit,dem,achtsamen,Spürhund,VA,0
2,19,219,Die,Zeugin,empfängt,die,Polizistin,mit,dem,achtsamen,Spürhund,NA,0
2,20,220,Der,Pfarrer,imponiert,dem,Skeptiker,mit,einem,gefestigten,Glauben,VA,0
2,20,220,Der,Skeptiker,imponiert,dem,Pfarrer,mit,einem,gefestigten,Glauben,NA,0
2,21,221,Der,Fan,winkt,dem,Sänger,mit,der,akustischen,Gitarre,NA,0
2,21,221,Der,Sänger,winkt,dem,Fan,mit,der,akustischen,Gitarre,VA,0
2,22,222,Die,Bäcker,erfreuen,die,Kinder,mit,den,frischen,Pfannkuchen,VA,0
2,22,222,Die,Kinder,erfreuen,die,Bäcker,mit,den,frischen,Pfannkuchen,NA,0
2,23,223,Der,Dirigent,folgt,dem,Musiker,mit,der,lieblichen,Geige,NA,0
2,23,223,Der,Musiker,folgt,dem,Dirigent,mit,der,lieblichen,Geige,VA,0
2,24,224,Die,Geigerin,begleitet,die,Pianistin,mit,dem,klassischen,Klavier,NA,0
2,24,224,Die,Pianistin,begleitet,die,Geigerin,mit,dem,klassischen,Klavier,VA,0
2,25,225,Die,Betreuer,geleiten,die,Senioren,mit,den,klapprigen,Rollatoren,NA,0
2,25,225,Die,Senioren,geleiten,die,Betreuer,mit,den,klapprigen,Rollatoren,VA,0
2,26,226,Der,Sanitäter,holt,den,Urlauber,mit,der,faltbaren,Trage,VA,0
2,26,226,Der,Urlauber,holt,den,Sanitäter,mit,der,faltbaren,Trage,NA,0
2,27,227,Der,Biker,überholt,den,Reiter,mit,dem,schweren,Motorrad,VA,0
2,27,227,Der,Reiter,überholt,den,Biker,mit,dem,schweren,Motorrad,NA,0
2,28,228,Die,Mütter,bedrängen,die,Obsthändler,mit,den,sperrigen,Kinderwägen,VA,0
2,28,228,Die,Obsthändler,bedrängen,die,Mütter,mit,den,sperrigen,Kinderwägen,NA,0
2,29,229,Die,Taucherin,zwickt,die,Krabbe,mit,den,roten,Scheren,NA,0
2,29,229,Die,Krabbe,zwickt,die,Taucherin,mit,den,roten,Scheren,VA,0
2,30,230,Die,Regisseurin,animiert,die,Tänzerin,mit,dem,bunten,Kostüm,NA,0
2,30,230,Die,Tänzerin,animiert,die,Regisseurin,mit,dem,bunten,Kostüm,VA,0
